x_px,y_px,col,row,corner_id
0.0,0.0,0,0,0
69.0,0.0,0,0,1
68.0,734.0,0,0,2
0.0,704.0,0,0,3
69.0,1199.0,0,1,2
0.0,1199.0,0,1,3
0.0,965.0,0,1,0
68.0,1000.0,0,1,1
129.0,0.0,1,0,0
189.0,0.0,1,0,1
189.0,740.0,1,0,2
131.0,770.0,1,0,3
189.0,1199.0,1,1,2
129.0,1199.0,1,1,3
130.0,1035.0,1,1,0
187.0,1010.0,1,1,1
249.0,0.0,2,0,0
309.0,0.0,2,0,1
303.0,655.0,2,0,2
249.0,649.0,2,0,3
309.0,1199.0,2,1,2
249.0,1199.0,2,1,3
255.0,915.0,2,1,0
309.0,921.0,2,1,1
369.0,0.0,3,0,0
429.0,0.0,3,0,1
428.0,200.0,3,0,2
370.0,263.0,3,0,3
429.0,1199.0,3,1,2
369.0,1199.0,3,1,3
369.0,545.0,3,1,0
428.0,475.0,3,1,1
489.0,0.0,4,0,0
549.0,0.0,4,0,1
547.0,761.0,4,0,2
489.0,701.0,4,0,3
549.0,1199.0,4,1,2
489.0,1199.0,4,1,3
491.0,979.0,4,1,0
548.0,1032.0,4,1,1
609.0,0.0,5,0,0
669.0,0.0,5,0,1
667.0,194.0,5,0,2
610.0,193.0,5,0,3
669.0,1199.0,5,1,2
609.0,1199.0,5,1,3
615.0,455.0,5,1,0
669.0,461.0,5,1,1
729.0,0.0,6,0,0
789.0,0.0,6,0,1
787.0,188.0,6,0,2
730.0,163.0,6,0,3
789.0,1199.0,6,1,2
729.0,1199.0,6,1,3
731.0,428.0,6,1,0
789.0,458.0,6,1,1
849.0,0.0,7,0,0
909.0,0.0,7,0,1
909.0,700.0,7,0,2
851.0,735.0,7,0,3
909.0,1199.0,7,1,2
849.0,1199.0,7,1,3
850.0,1001.0,7,1,0
908.0,972.0,7,1,1
969.0,0.0,8,0,0
1029.0,0.0,8,0,1
1028.0,168.0,8,0,2
970.0,254.0,8,0,3
1029.0,1199.0,8,1,2
969.0,1199.0,8,1,3
969.0,544.0,8,1,0
1028.0,450.0,8,1,1
1089.0,0.0,9,0,0
1149.0,0.0,9,0,1
1148.0,166.0,9,0,2
1091.0,219.0,9,0,3
1149.0,1199.0,9,1,2
1089.0,1199.0,9,1,3
1089.0,497.0,9,1,0
1147.0,437.0,9,1,1
1209.0,0.0,10,0,0
1269.0,0.0,10,0,1
1268.0,166.0,10,0,2
1211.0,219.0,10,0,3
1269.0,1199.0,10,1,2
1209.0,1199.0,10,1,3
1209.0,497.0,10,1,0
1267.0,437.0,10,1,1
1329.0,0.0,11,0,0
1389.0,0.0,11,0,1
1387.0,194.0,11,0,2
1330.0,193.0,11,0,3
1389.0,1199.0,11,1,2
1329.0,1199.0,11,1,3
1335.0,455.0,11,1,0
1389.0,461.0,11,1,1
